index:,temp:,pressure:,alt:,humidity:
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0
39.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0
42.0,0.0,0.0,0.0,0.0
43.0,0.0,0.0,0.0,0.0
44.0,24.9,45.9,115.41,999.5
45.0,24.9,45.9,115.41,999.5
46.0,24.9,45.9,115.41,999.5
47.0,24.9,45.9,115.41,999.5
48.0,24.9,45.9,115.41,999.5
49.0,24.9,45.9,115.41,999.5
50.0,24.9,45.9,115.41,999.5
51.0,24.9,45.9,115.41,999.5
52.0,24.9,45.9,115.41,999.5
53.0,24.9,45.9,115.41,999.5
54.0,24.9,45.9,115.41,999.5
55.0,24.9,45.9,115.41,999.5
56.0,24.9,45.9,115.41,999.5
57.0,24.9,45.9,115.41,999.5
58.0,24.9,45.9,115.41,999.5
59.0,24.9,45.9,115.41,999.5
60.0,24.9,45.9,115.41,999.5
61.0,24.9,45.9,115.41,999.5
62.0,24.9,45.9,115.41,999.5
63.0,24.9,45.9,115.41,999.5
64.0,24.9,45.9,115.41,999.5
65.0,24.9,45.9,115.41,999.5
66.0,24.9,45.9,115.41,999.5
67.0,24.9,45.9,115.41,999.5
68.0,24.9,45.9,115.41,999.5
69.0,24.9,45.9,115.41,999.5
70.0,24.9,45.9,115.41,999.5
71.0,24.9,45.9,115.41,999.5
72.0,24.9,45.9,115.41,999.5
73.0,24.9,45.9,115.41,999.5
